Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L,Year
Mike Budenholzer,ATL,5,5,82,24,58,410,213,197,410,213,197,0.52,0.0,0.0,0.0,39.0,17.0,22.0,39.0,17.0,22.0,2018
Brad Stevens,BOS,5,5,82,55,27,410,221,189,410,221,189,0.539,19.0,11.0,8.0,47.0,22.0,25.0,47.0,22.0,25.0,2018
Kenny Atkinson,BRK,2,2,82,28,54,164,48,116,164,48,116,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Fred Hoiberg,CHI,3,3,82,27,55,246,110,136,246,110,136,0.447,0.0,0.0,0.0,6.0,2.0,4.0,6.0,2.0,4.0,2018
Steve Clifford,CHO,5,5,82,36,46,410,196,214,410,196,214,0.478,0.0,0.0,0.0,11.0,3.0,8.0,11.0,3.0,8.0,2018
Tyronn Lue,CLE,3,3,82,50,32,205,128,77,205,128,77,0.624,22.0,12.0,10.0,61.0,41.0,20.0,61.0,41.0,20.0,2018
Rick Carlisle,DAL,10,16,82,24,58,804,437,367,1296,718,578,0.554,0.0,0.0,0.0,58.0,28.0,30.0,120.0,58.0,62.0,2018
Michael Malone,DEN,3,5,82,46,36,246,119,127,352,158,194,0.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Stan Van Gundy,DET,4,12,82,39,43,328,152,176,907,523,384,0.577,0.0,0.0,0.0,4.0,0.0,4.0,91.0,48.0,43.0,2018
Steve Kerr,GSW,4,4,82,58,24,328,265,63,328,265,63,0.808,21.0,16.0,5.0,83.0,63.0,20.0,83.0,63.0,20.0,2018
Mike D'Antoni,HOU,2,14,82,65,17,164,120,44,1045,575,470,0.55,17.0,11.0,6.0,28.0,17.0,11.0,87.0,43.0,44.0,2018
Nate McMillan,IND,2,14,82,48,34,164,90,74,1094,568,526,0.519,7.0,3.0,4.0,11.0,3.0,8.0,45.0,17.0,28.0,2018
Doc Rivers,LAC,5,19,82,42,40,410,259,151,1470,846,624,0.576,0.0,0.0,0.0,40.0,18.0,22.0,161.0,82.0,79.0,2018
Luke Walton,LAL,2,2,82,35,47,164,61,103,164,61,103,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
David Fizdale,MEM,2,2,19,7,12,101,50,51,101,50,51,0.495,0.0,0.0,0.0,6.0,2.0,4.0,6.0,2.0,4.0,2018
J.B. Bickerstaff,MEM,1,2,63,15,48,63,15,48,134,52,82,0.388,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,2018
Erik Spoelstra,MIA,10,10,82,44,38,804,484,320,804,484,320,0.602,5.0,1.0,4.0,118.0,71.0,47.0,118.0,71.0,47.0,2018
Jason Kidd,MIL,4,5,45,23,22,291,139,152,373,183,190,0.491,0.0,0.0,0.0,12.0,4.0,8.0,24.0,9.0,15.0,2018
Joe Prunty,MIL,1,1,37,21,16,37,21,16,37,21,16,0.568,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2018
Tom Thibodeau,MIN,2,7,82,47,35,164,78,86,558,333,225,0.597,5.0,1.0,4.0,5.0,1.0,4.0,56.0,24.0,32.0,2018
Alvin Gentry,NOP,3,15,82,48,34,246,112,134,951,447,504,0.47,9.0,5.0,4.0,9.0,5.0,4.0,30.0,17.0,13.0,2018
Jeff Hornacek,NYK,2,5,82,29,53,164,60,104,377,161,216,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Billy Donovan,OKC,3,3,82,48,34,246,150,96,246,150,96,0.61,6.0,2.0,4.0,29.0,14.0,15.0,29.0,14.0,15.0,2018
Frank Vogel,ORL,2,8,82,25,57,164,54,110,595,304,291,0.511,0.0,0.0,0.0,0.0,0.0,0.0,61.0,31.0,30.0,2018
Brett Brown,PHI,5,5,82,52,30,410,127,283,410,127,283,0.31,10.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0,2018
Earl Watson,PHO,3,3,3,0,3,118,33,85,118,33,85,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Jay Triano,PHO,1,4,79,21,58,79,21,58,308,108,200,0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Terry Stotts,POR,6,10,82,49,33,492,272,220,775,387,388,0.499,4.0,0.0,4.0,35.0,11.0,24.0,40.0,12.0,28.0,2018
Dave Joerger,SAC,2,5,82,27,55,164,59,105,410,206,204,0.502,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9.0,13.0,2018
Gregg Popovich,SAS,22,22,82,47,35,1738,1197,541,1738,1197,541,0.689,5.0,1.0,4.0,277.0,167.0,110.0,277.0,167.0,110.0,2018
Dwane Casey,TOR,7,9,82,59,23,558,320,238,680,373,307,0.549,10.0,4.0,6.0,51.0,21.0,30.0,51.0,21.0,30.0,2018
Quin Snyder,UTA,4,4,82,48,34,328,177,151,328,177,151,0.54,11.0,5.0,6.0,22.0,9.0,13.0,22.0,9.0,13.0,2018
Scott Brooks,WAS,2,9,82,43,39,164,92,72,709,430,279,0.606,6.0,2.0,4.0,19.0,9.0,10.0,92.0,48.0,44.0,2018
